Physics_Setting,Run Type,Run Number,Charge,Charge Error,HMS Tracking Eff,HMS Tracking Eff Error,SHMS Tracking Eff,SHMS Tracking Eff Error,HMS Cer Detector Eff,HMS Cer Detector Eff Error,HMS Cal Detector Eff,HMS Cal Detector Eff Error,HMS Hodo 3/4 Eff,HMS Hodo 3/4 Eff Error,SHMS Hodo 3/4 Eff,SHMS Hodo 3/4 Eff Error,EDTM Live Time,EDTM Live Time Error,Boiling Factor,Boiling Factor Error,Dummy Target Correction,Dummy Target Correction Error,Effective Charge,Effective Charge Error,Total Effective Charge,Total Effective Charge Error,Normfactor
Q3p85_W2p62_t0p21_loweps_center,data,16373.0,209.416854,36.436338,0.997,0.0004,0.9882,0.0006,0.9981,0.0001,0.9981,0.0001,0.997159,0.0004,0.96755,0.0006,0.9881,0.0005,0.98358,0.12894,NA,NA,183.32197692251336,39.93758664222312,3137.7843394164456,187.11621954186444,0.0003186962174035124
Q3p85_W2p62_t0p21_loweps_center,data,16374.0,215.370955,31.32518,0.9963,0.0004,0.9872,0.0006,0.9981,0.0001,0.9981,0.0001,0.997084,0.0004,0.969,0.0006,0.9857,0.0007,0.9798,0.15424,NA,NA,187.08615204140307,40.09918795246342,3137.7843394164456,187.11621954186444,0.0003186962174035124
Q3p85_W2p62_t0p21_loweps_center,data,16375.0,233.9714,41.038163,0.9966,0.0003,0.9877,0.0006,0.9981,0.0001,0.9981,0.0001,0.997108,0.0003,0.968397,0.0006,0.9868,0.0006,0.9818,0.14078,NA,NA,203.7618798171864,46.16375943414808,3137.7843394164456,187.11621954186444,0.0003186962174035124
Q3p85_W2p62_t0p21_loweps_center,data,16376.0,249.656049,46.751237,0.9962,0.0003,0.9873,0.0006,0.9981,0.0001,0.9981,0.0001,0.997123,0.0003,0.968754,0.0006,0.9876,0.0005,0.98181,0.14071,NA,NA,217.9564712433279,51.39789473980712,3137.7843394164456,187.11621954186444,0.0003186962174035124
Q3p85_W2p62_t0p21_loweps_center,data,16377.0,241.585704,42.030881,0.9961,0.0003,0.9883,0.0006,0.9981,0.0001,0.9981,0.0001,0.997138,0.0003,0.969673,0.0006,0.9872,0.0006,0.98106,0.14578,NA,NA,210.9066014237671,48.25668153080892,3137.7843394164456,187.11621954186444,0.0003186962174035124
Q3p85_W2p62_t0p21_loweps_center,data,16378.0,218.921704,31.677584,0.9963,0.0003,0.9872,0.0006,0.9981,0.0001,0.9981,0.0001,0.997093,0.0003,0.967722,0.0006,0.9868,0.0006,0.97936,0.1572,NA,NA,190.2058187857817,41.10607469586784,3137.7843394164456,187.11621954186444,0.0003186962174035124
Q3p85_W2p62_t0p21_loweps_center,data,16379.0,273.599132,51.3221,0.9963,0.0003,0.9885,0.0005,0.9981,0.0001,0.9981,0.0001,0.997034,0.0003,0.96756,0.0005,0.9863,0.0006,0.9801,0.1522,NA,NA,238.22543806978877,58.01382923986812,3137.7843394164456,187.11621954186444,0.0003186962174035124
Q3p85_W2p62_t0p21_loweps_center,data,16380.0,229.224199,39.547288,0.9961,0.0003,0.987,0.0006,0.9981,0.0001,0.9981,0.0001,0.997103,0.0003,0.968501,0.0006,0.9877,0.0005,0.98187,0.1403,NA,NA,199.86969428107855,44.77535235765035,3137.7843394164456,187.11621954186444,0.0003186962174035124
Q3p85_W2p62_t0p21_loweps_center,data,16381.0,207.615898,35.725217,0.9963,0.0003,0.9881,0.0006,0.9981,0.0001,0.9981,0.0001,0.997106,0.0003,0.967482,0.0006,0.9884,0.0005,0.98354,0.1292,NA,NA,181.43823040315812,39.27985916734164,3137.7843394164456,187.11621954186444,0.0003186962174035124
Q3p85_W2p62_t0p21_loweps_center,data,16387.0,257.655292,47.841357,0.9965,0.0003,0.9869,0.0006,0.9981,0.0001,0.9981,0.0001,0.997088,0.0003,0.96913,0.0006,0.9871,0.0006,0.98107,0.1457,NA,NA,224.08912131763628,53.282192335727196,3137.7843394164456,187.11621954186444,0.0003186962174035124
Q3p85_W2p62_t0p21_loweps_center,data,16388.0,246.875605,41.952886,0.9973,0.0003,0.988,0.0006,0.9981,0.0001,0.9981,0.0001,0.997102,0.0003,0.969279,0.0006,0.9866,0.0006,0.98018,0.15166,NA,NA,215.60922953764378,49.55314296028851,3137.7843394164456,187.11621954186444,0.0003186962174035124
Q3p85_W2p62_t0p21_loweps_center,data,16389.0,248.175501,43.326126,0.9964,0.0003,0.9871,0.0006,0.9981,0.0001,0.9981,0.0001,0.997134,0.0003,0.968175,0.0006,0.9873,0.0006,0.98061,0.14881,NA,NA,216.16152887737107,50.0026814741857,3137.7843394164456,187.11621954186444,0.0003186962174035124
Q3p85_W2p62_t0p21_loweps_center,data,16390.0,272.69962,48.732972,0.9971,0.0003,0.9883,0.0005,0.9981,0.0001,0.9981,0.0001,0.99701,0.0003,0.969081,0.0005,0.9877,0.0006,0.97918,0.1584,NA,NA,237.8705801382867,57.33971546735632,3137.7843394164456,187.11621954186444,0.0003186962174035124
Q3p85_W2p62_t0p21_loweps_center,data,16392.0,250.475645,41.078035,0.9969,0.0004,0.9879,0.0006,0.9981,0.0001,0.9981,0.0001,0.997103,0.0004,0.967915,0.0006,0.9862,0.0006,0.97916,0.15853,NA,NA,217.9773848588066,50.235146178593176,3137.7843394164456,187.11621954186444,0.0003186962174035124
Q3p85_W2p62_t0p21_loweps_center,data,16393.0,244.11331,45.850495,0.9967,0.0004,0.9877,0.0006,0.9981,0.0001,0.9981,0.0001,0.996855,0.0004,0.968933,0.0006,0.9879,0.0005,0.98227,0.13765,NA,NA,213.30423169869675,49.98739866101421,3137.7843394164456,187.11621954186444,0.0003186962174035124
Q3p85_W2p62_t0p21_loweps_center,dummy,16370.0,115.095197,20.522318,0.997,0.0004,0.9954,0.0003,0.9981,0.0001,0.9981,0.0001,0.99723,0.0004,0.982889,0.0003,0.9988,0.0002,NA,NA,3.527,0.227,109.13241209310979,3.575458082423836,815.5271808041623,55.23899601080427,0.001226200700035449
Q3p85_W2p62_t0p21_loweps_center,dummy,16371.0,104.910217,18.740347,0.9965,0.0005,0.9954,0.0003,0.9981,0.0001,0.9981,0.0001,0.997186,0.0005,0.987961,0.0003,0.9985,0.0002,NA,NA,3.527,0.227,99.47538956180959,3.3003427043812605,815.5271808041623,55.23899601080427,0.001226200700035449
Q3p85_W2p62_t0p21_loweps_center,dummy,16372.0,24.252092,0.82994,0.9967,0.0009,0.9952,0.0006,0.9981,0.0001,0.9981,0.0001,0.997257,0.0009,0.981231,0.0006,0.9984,0.0005,NA,NA,3.527,0.227,22.616235998656535,0.38527882136646646,815.5271808041623,55.23899601080427,0.001226200700035449
Q3p85_W2p62_t0p21_loweps_left,data,16319.0,217.467067,39.829739,0.9962,0.0006,0.9914,0.0006,0.9981,0.0001,0.9981,0.0001,0.997031,0.0006,0.97583,0.0006,0.9952,0.0003,0.9838,0.12746,NA,NA,196.02662948599854,43.9799916393586,2988.749732334569,180.12656687005057,0.00033458806844254604
Q3p85_W2p62_t0p21_loweps_left,data,16320.0,40.865323,1.556274,0.9949,0.0017,0.9917,0.0013,0.9981,0.0001,0.9981,0.0001,0.997115,0.0017,0.973098,0.0013,0.9943,0.0007,0.98536,0.1172,NA,NA,37.09401497912205,4.636495023649478,2988.749732334569,180.12656687005057,0.00033458806844254604
Q3p85_W2p62_t0p21_loweps_left,data,16321.0,211.513938,36.756962,0.9965,0.0004,0.9924,0.0005,0.9981,0.0001,0.9981,0.0001,0.997048,0.0004,0.974413,0.0005,0.9946,0.0004,0.98339,0.13016,NA,NA,191.12771621592097,41.75300949853587,2988.749732334569,180.12656687005057,0.00033458806844254604
Q3p85_W2p62_t0p21_loweps_left,data,16323.0,248.008234,45.433997,0.9963,0.0004,0.9912,0.0005,0.9981,0.0001,0.9981,0.0001,0.997262,0.0004,0.975189,0.0005,0.9945,0.0004,0.98153,0.1426,NA,NA,222.6398943095927,52.056539497779546,2988.749732334569,180.12656687005057,0.00033458806844254604
Q3p85_W2p62_t0p21_loweps_left,data,16325.0,237.607151,41.539162,0.9959,0.0004,0.9906,0.0006,0.9981,0.0001,0.9981,0.0001,0.997182,0.0004,0.974796,0.0006,0.9932,0.0004,0.98146,0.14308,NA,NA,212.6256464193898,48.401008663995476,2988.749732334569,180.12656687005057,0.00033458806844254604
Q3p85_W2p62_t0p21_loweps_left,data,16326.0,257.094571,45.116275,0.9963,0.0004,0.9926,0.0005,0.9981,0.0001,0.9981,0.0001,0.997261,0.0004,0.974814,0.0005,0.9942,0.0004,0.98001,0.1528,NA,NA,230.27547753882936,54.05672226160539,2988.749732334569,180.12656687005057,0.00033458806844254604
Q3p85_W2p62_t0p21_loweps_left,data,16327.0,257.631148,47.869598,0.9964,0.0004,0.9924,0.0005,0.9981,0.0001,0.9981,0.0001,0.997126,0.0004,0.974868,0.0005,0.9943,0.0004,0.98108,0.14559,NA,NA,230.77493035234272,54.8777490908032,2988.749732334569,180.12656687005057,0.00033458806844254604
Q3p85_W2p62_t0p21_loweps_left,data,16328.0,235.44616,41.1314,0.9961,0.0004,0.9922,0.0005,0.9981,0.0001,0.9981,0.0001,0.997204,0.0004,0.975251,0.0005,0.9959,0.0003,0.98161,0.14204,NA,NA,211.567242778434,47.99294714025677,2988.749732334569,180.12656687005057,0.00033458806844254604
Q3p85_W2p62_t0p21_loweps_left,data,16330.0,235.290762,41.848813,0.9959,0.0004,0.9926,0.0005,0.9981,0.0001,0.9981,0.0001,0.997191,0.0004,0.975215,0.0005,0.9949,0.0004,0.98195,0.13977,NA,NA,211.51649097368212,48.18509446766659,2988.749732334569,180.12656687005057,0.00033458806844254604
Q3p85_W2p62_t0p21_loweps_left,data,16331.0,235.028848,42.780603,0.9969,0.0004,0.993,0.0005,0.9981,0.0001,0.9981,0.0001,0.996965,0.0004,0.975305,0.0005,0.9939,0.0004,0.98238,0.13688,NA,NA,211.2121002488513,48.417025749083884,2988.749732334569,180.12656687005057,0.00033458806844254604
Q3p85_W2p62_t0p21_loweps_left,data,16332.0,274.130558,58.139498,0.9961,0.0004,0.9917,0.0005,0.9981,0.0001,0.9981,0.0001,0.997385,0.0004,0.975325,0.0005,0.9942,0.0003,0.98236,0.137,NA,NA,246.1101330778559,62.47100899966931,2988.749732334569,180.12656687005057,0.00033458806844254604
Q3p85_W2p62_t0p21_loweps_left,data,16394.0,246.426803,48.995955,0.9964,0.0004,0.9916,0.0005,0.9981,0.0001,0.9981,0.0001,0.997013,0.0004,0.975137,0.0005,0.9937,0.0004,0.98309,0.13218,NA,NA,221.68010792284798,53.209562768815736,2988.749732334569,180.12656687005057,0.00033458806844254604
Q3p85_W2p62_t0p21_loweps_left,data,16395.0,240.240898,39.553953,0.997,0.0004,0.9918,0.0005,0.9981,0.0001,0.9981,0.0001,0.99716,0.0004,0.976011,0.0005,0.9943,0.0004,0.98009,0.15226,NA,NA,216.1396450441608,48.928871803707274,2988.749732334569,180.12656687005057,0.00033458806844254604
Q3p85_W2p62_t0p21_loweps_left,data,16396.0,71.799897,3.959688,0.9967,0.0007,0.9918,0.001,0.9981,0.0001,0.9981,0.0001,0.997243,0.0007,0.977094,0.001,0.9943,0.0006,0.98224,0.13786,NA,NA,64.54990315803593,9.737439016610747,2988.749732334569,180.12656687005057,0.00033458806844254604
Q3p85_W2p62_t0p21_loweps_left,data,16397.0,130.923442,12.266043,0.9968,0.0005,0.992,0.0007,0.9981,0.0001,0.9981,0.0001,0.99594,0.0005,0.975181,0.0007,0.9945,0.0005,0.98093,0.14659,NA,NA,117.25923327064694,20.68512611274693,2988.749732334569,180.12656687005057,0.00033458806844254604
Q3p85_W2p62_t0p21_loweps_left,data,16398.0,186.989442,26.847574,0.9967,0.0004,0.9921,0.0006,0.9981,0.0001,0.9981,0.0001,0.997161,0.0004,0.975227,0.0006,0.9946,0.0004,0.98223,0.1379,NA,NA,168.1505665588585,33.769011675821574,2988.749732334569,180.12656687005057,0.00033458806844254604
Q3p85_W2p62_t0p21_loweps_left,dummy,16333.0,114.176134,20.038252,0.9965,0.0005,0.9955,0.0005,0.9981,0.0001,0.9981,0.0001,0.997245,0.0005,0.984247,0.0005,0.9994,0.0001,NA,NA,3.527,0.227,108.23149730326305,3.4244598956591896,829.922956615221,54.90728869650986,0.0012049311228579886
Q3p85_W2p62_t0p21_loweps_left,dummy,16334.0,78.125853,8.390321,0.9963,0.0006,0.9951,0.0006,0.9981,0.0001,0.9981,0.0001,0.997505,0.0006,0.985173,0.0006,0.9998,0.0001,NA,NA,3.527,0.227,73.82225390431698,1.002012736204098,829.922956615221,54.90728869650986,0.0012049311228579886
Q3p85_W2p62_t0p21_loweps_left,dummy,16335.0,56.315234,4.291404,0.9962,0.0007,0.9951,0.0007,0.9981,0.0001,0.9981,0.0001,0.997383,0.0007,0.987412,0.0007,0.9996,0.0002,NA,NA,3.527,0.227,53.25187868048941,0.5185480928108123,829.922956615221,54.90728869650986,0.0012049311228579886
Q3p85_W2p62_t0p21_higheps_right,data,15055.0,83.745945,16.279173,0.996,0.0002,0.9959,0.0005,0.9981,0.0001,0.9981,0.0001,0.99822,0.0002,0.991975,0.0005,0.9962,0.0002,0.9941,0.06513,NA,NA,78.71393786794512,16.146916847386937,452.53928871794716,37.729347417126384,0.0022097528876067756
Q3p85_W2p62_t0p21_higheps_right,data,15056.0,112.132924,20.819369,0.9951,0.0002,0.995,0.0005,0.9981,0.0001,0.9981,0.0001,0.998277,0.0002,0.992166,0.0005,0.9954,0.0003,0.99175,0.07756,NA,NA,104.81253377000195,21.116371386109172,452.53928871794716,37.729347417126384,0.0022097528876067756
Q3p85_W2p62_t0p21_higheps_right,data,15057.0,93.835448,16.23218,0.9952,0.0002,0.9951,0.0005,0.9981,0.0001,0.9981,0.0001,0.998097,0.0002,0.991871,0.0005,0.9957,0.0003,0.99259,0.07288,NA,NA,87.7412412172801,16.488870316392635,452.53928871794716,37.729347417126384,0.0022097528876067756
Q3p85_W2p62_t0p21_higheps_right,data,15058.0,106.290736,15.488743,0.9815,0.0004,0.9946,0.0005,0.9981,0.0001,0.9981,0.0001,0.998273,0.0004,0.992215,0.0005,0.9946,0.0004,0.99004,0.08752,NA,NA,97.64176633662174,16.64227950697595,452.53928871794716,37.729347417126384,0.0022097528876067756
Q3p85_W2p62_t0p21_higheps_right,data,15059.0,91.528831,11.733416,0.975,0.0005,0.9942,0.0006,0.9981,0.0001,0.9981,0.0001,0.99827,0.0005,0.992156,0.0006,0.9954,0.0004,0.99025,0.08627,NA,NA,83.62980952609824,12.962688024888102,452.53928871794716,37.729347417126384,0.0022097528876067756
Q3p85_W2p62_t0p21_higheps_right,dummy,15061.0,39.291478,2.354432,0.9704,0.0008,0.9956,0.0005,0.9981,0.0001,0.9981,0.0001,0.998809,0.0008,0.994913,0.0005,0.9995,0.0002,NA,NA,3.527,0.227,36.59453689298712,0.19045484593833348,129.06893162156558,8.334075188728553,0.007747797920354941
Q3p85_W2p62_t0p21_higheps_center,data,15103.0,56.003841,9.681262,0.9906,0.0004,0.9934,0.0007,0.9981,0.0001,0.9981,0.0001,0.99806,0.0004,0.99331,0.0007,0.9982,0.0001,0.99557,0.05854,NA,NA,52.7426579673755,9.630845907770796,417.67890628977716,36.47691355057488,0.002394183629915513
Q3p85_W2p62_t0p21_higheps_center,data,15104.0,99.106278,18.961615,0.9945,0.0002,0.9934,0.0005,0.9981,0.0001,0.9981,0.0001,0.998257,0.0002,0.993599,0.0005,0.9979,0.0002,0.99293,0.07105,NA,NA,93.25099876114389,19.048582859590535,417.67890628977716,36.47691355057488,0.002394183629915513
Q3p85_W2p62_t0p21_higheps_center,data,15106.0,113.45971,19.884798,0.9937,0.0002,0.9945,0.0005,0.9981,0.0001,0.9981,0.0001,0.998246,0.0002,0.993647,0.0005,0.9984,0.0002,0.99116,0.08088,NA,NA,106.90697333507183,20.668074402152413,417.67890628977716,36.47691355057488,0.002394183629915513
Q3p85_W2p62_t0p21_higheps_center,data,15107.0,113.017007,18.931032,0.9934,0.0003,0.9939,0.0005,0.9981,0.0001,0.9981,0.0001,0.998323,0.0003,0.993818,0.0005,0.998,0.0002,0.99079,0.08305,NA,NA,106.22853872240155,19.897857133514883,417.67890628977716,36.47691355057488,0.002394183629915513
Q3p85_W2p62_t0p21_higheps_center,data,15108.0,62.209779,5.365519,0.9955,0.0003,0.9949,0.0006,0.9981,0.0001,0.9981,0.0001,0.998169,0.0003,0.993619,0.0006,0.998,0.0003,0.99016,0.08683,NA,NA,58.5497375037844,7.202048480781311,417.67890628977716,36.47691355057488,0.002394183629915513
Q3p85_W2p62_t0p21_higheps_center,dummy,15102.0,48.988541,3.40111,0.9864,0.0005,0.995,0.0006,0.9981,0.0001,0.9981,0.0001,0.998731,0.0005,0.995258,0.0006,0.9992,0.0002,NA,NA,3.527,0.227,46.39884431931921,0.27888669889152584,163.64872391423887,10.5783686932129,0.006110649543005641
Q3p85_W2p62_t0p21_higheps_left,data,15110.0,72.037161,10.483934,0.9949,0.0003,0.9907,0.001,0.9981,0.0001,0.9981,0.0001,0.998274,0.0003,0.994296,0.001,0.999,0.0001,0.99324,0.06941,NA,NA,68.03662528207639,10.98477330515522,522.5799794363438,35.651617801219224,0.0019135826846612125
Q3p85_W2p62_t0p21_higheps_left,data,15113.0,107.37714,18.58813,0.9936,0.0003,0.9915,0.0008,0.9981,0.0001,0.9981,0.0001,0.99831,0.0003,0.994245,0.0008,0.999,0.0002,0.99153,0.07875,NA,NA,101.12581330898306,19.26112884142506,522.5799794363438,35.651617801219224,0.0019135826846612125
Q3p85_W2p62_t0p21_higheps_left,data,15114.0,93.170614,15.665156,0.9947,0.0003,0.9926,0.0008,0.9981,0.0001,0.9981,0.0001,0.99834,0.0003,0.99461,0.0008,0.999,0.0001,0.99243,0.0737,NA,NA,88.19983821005836,16.212056916940227,522.5799794363438,35.651617801219224,0.0019135826846612125
Q3p85_W2p62_t0p21_higheps_left,data,15115.0,91.662977,16.318995,0.9949,0.0002,0.9924,0.0008,0.9981,0.0001,0.9981,0.0001,0.998341,0.0002,0.993938,0.0008,0.9994,0.0001,0.99297,0.07082,NA,NA,86.76018378242543,16.64000589871495,522.5799794363438,35.651617801219224,0.0019135826846612125
Q3p85_W2p62_t0p21_higheps_left,data,15116.0,64.453321,10.466735,0.9951,0.0003,0.9928,0.0009,0.9981,0.0001,0.9981,0.0001,0.998224,0.0003,0.994349,0.0009,0.9988,0.0001,0.99457,0.06284,NA,NA,61.116140904255865,10.650103947121423,522.5799794363438,35.651617801219224,0.0019135826846612125
Q3p85_W2p62_t0p21_higheps_left,data,15117.0,22.71676,2.158163,0.9931,0.0006,0.9924,0.0017,0.9981,0.0001,0.9981,0.0001,0.99835,0.0006,0.993504,0.0017,0.9979,0.0002,0.99672,0.0544,NA,NA,21.504563866797284,2.357137710114635,522.5799794363438,35.651617801219224,0.0019135826846612125
Q3p85_W2p62_t0p21_higheps_left,data,15118.0,59.893315,10.169813,0.9931,0.0004,0.992,0.0011,0.9981,0.0001,0.9981,0.0001,0.998326,0.0004,0.994225,0.0011,0.9988,0.0001,0.99517,0.06018,NA,NA,56.57303148173802,10.197690018926327,522.5799794363438,35.651617801219224,0.0019135826846612125
Q3p85_W2p62_t0p21_higheps_left,data,15119.0,41.745068,2.700796,0.9946,0.0004,0.9906,0.0014,0.9981,0.0001,0.9981,0.0001,0.998059,0.0004,0.994549,0.0014,0.9985,0.0003,0.99119,0.08072,NA,NA,39.263782600009385,4.0850022342908385,522.5799794363438,35.651617801219224,0.0019135826846612125
Q3p85_W2p62_t0p21_higheps_left,dummy,15121.0,44.221591,2.774107,0.991,0.0004,0.9931,0.0009,0.9981,0.0001,0.9981,0.0001,0.998826,0.0004,0.994046,0.0009,0.9997,0.0001,NA,NA,3.527,0.227,42.13601660214891,0.23390731382886618,148.61373055577923,9.600388470197608,0.006728853358705438
