COINTRIG_cut,COINTRIG_scaler,COIN_PS,CPULT_scaler,CPULT_scaler_uncern,HMS3of4ELT,HMS3of4ELT_err,HMSTRIG_cut,HMSTRIG_scaler,HMS_3-4Trig_scaler,HMS_PS,HMS_eLT_scaler,HMS_eLT_scaler_uncern,HMS_track,HMS_track_uncern,PS1,PS2,PS3,PS4,PS5,PS6,SHMS3of4ELT,SHMS3of4ELT_err,SHMSTRIG_cut,SHMSTRIG_scaler,SHMS_3-4Trig_scaler,SHMS_PS,SHMS_eLT_scaler,SHMS_eLT_scaler_uncern,SHMS_track,SHMS_track_uncern,accp_edtm,c_int_Track_Rand_events,c_int_Track_events,c_int_noTrack_Rand_events,c_int_noTrack_events,charge,curr_corr,h_int_etotnorm_evts,h_int_etottracknorm_evts,haccp_edtm,p_int_etotnorm_evts,p_int_etottracknorm_evts,paccp_edtm,run number,sent_edtm,sent_edtm_PS,time,tot_events,CoinBlocking_Corr,CoinBlocking_Inside,CoinBlocking_Total
379556,2372573,1,0.997267795776677,3.14379334814515E-05,0.998382639710258,6.69117162472569E-41,3013,122309369,415222110,513,0.983888417401847,0.001052932159451,0.9956,0.0003,4097,,,513,1,,0.986151654638139,2.60098240364937E-41,,597676592,597676592,4097,0.983888417401847,0.001052932159451,0.9924,0.0006,20602,20627,46808,47441,80634,146392.880777419,1.00037760506253,774986,774986,1733,428036,395635,1076,14613,22036,22036,2211.147716,2752460,0.719310332864998,1036724,1441275
292247,1474226,1,0.997935797526273,3.41217838729323E-05,0.998951369442669,9.54694527861438E-41,2899,94864642,322021092,513,0.987440542999615,0.000996382071194,0.9953,0.0004,4097,,,513,1,,0.991024119501069,3.65404788197235E-41,,451127961,451127961,4097,0.987440542999615,0.000996382071194,0.9938,0.0006,20141,12864,36214,29660,62373,112368.362402965,1.0004741764402,501287,501287,2047,275915,255590,1243,14614,21240,21240,2131.297203,1767154,0.72784977690656,673550,925397
209437,765296,1,0.997824593377355,4.71404631622229E-05,0.998968820793624,1.27530806230775E-39,1416,49609764,167961036,513,0.98752834416618,0.001168406308409,0.9956,0.0005,2049,,,513,1,,0.991149208713371,4.81886712413593E-40,,235228787,235228787,2049,0.98752834416618,0.001168406308409,0.995,0.0005,10552,6667,19137,15465,32710,58609.9798164278,1.00047779146338,261205,261205,1029,152719,141470,1230,14615,11163,11163,1120.133921,973187,0.72904701726288,349597,479526
444288,1276395,1,0.998028759257971,3.37863061079148E-05,0.999389937900882,2.70247724533192E-41,3763,106226064,360361378,513,0.990689840788457,0.000838791093188,0.9965,0.0003,2049,,,513,1,,0.994769321684367,1.00889358388929E-41,,491753862,491753862,2049,0.990689840788457,0.000838791093188,0.9945,0.0004,29980,11104,40714,25711,69524,125370.194430742,1.00062360093246,461513,461513,3552,269396,249925,4166,14616,31167,31167,3127.238806,1722243,0.740377972301747,610837,825034
460099,214341,1,0.997149739907886,6.47396731406079E-05,0.999927868748639,6.09278165869451E-41,20782,38525784,131206965,129,0.996993191430272,0.000621201523577,0.9963,0.0002,1025,,,129,1,,0.999383715326902,2.20786844789379E-41,,169253451,169253451,1025,0.996993191430272,0.000621201523577,0.9963,0.0003,32515,1399,15040,3232,25295,45181.9180172264,1.00183590909738,156062,156062,14311,67118,62346,7947,14620,33065,33065,3317.995773,676035,0.800865044012345,105357,131554
445597,209126,1,0.997315666909655,6.3695757673455E-05,0.999927969040554,6.88294075540339E-41,19971,37450315,127459431,129,0.996995078335998,0.00062551531499,0.9965,0.0002,1025,,,129,1,,0.999384434195749,2.47478131616865E-41,,164426143,164426143,1025,0.996995078335998,0.00062551531499,0.9961,0.0004,31527,1347,14390,3219,24346,43896.4624437078,1.00183679516324,152478,152478,13716,65217,60710,7620,14621,32145,32145,3225.152396,657636,0.801019054604473,102657,128158
419882,194853,1,0.997169582907262,6.76719851676452E-05,0.999927855283387,8.70280449596461E-41,18831,35021166,119140768,129,0.99700125210269,0.000635471249666,0.9964,0.0003,1025,,,129,1,,0.999382178185269,3.25894293042314E-41,,153727980,153727980,1025,0.99700125210269,0.000635471249666,0.9967,0.0003,29763,1368,13717,3099,23033,41034.0463525707,1.00183347268397,143726,143726,12998,61401,57088,7209,14622,29992,29992,3009.392124,619525,0.801071839770722,96711,120727
477333,223764,1,0.997299502627885,6.17640196861933E-05,0.999928209193222,5.20725245397349E-41,21534,40082089,136280698,129,0.996991338086853,0.000615525910573,0.9964,0.0002,1025,,,129,1,,0.999385481698953,1.89001342443526E-41,,175799446,175799446,1025,0.996991338086853,0.000615525910573,0.9961,0.0003,33871,1465,15734,3457,26317,46926.6106961912,1.00183841432281,162559,162559,14916,69988,65087,8259,14623,34392,34392,3450.822129,704929,0.801364377657406,110069,137352
261977,1642236,1,0.997202204398984,3.82472720427735E-05,0.998381680770408,3.06236398459816E-40,2109,84627211,284616961,513,0.983864792441556,0.001158015054002,0.9953,0.0004,4097,,,513,1,,0.986120853721352,1.18626680025978E-40,,409731372,409731372,4097,0.983864792441556,0.001158015054002,0.9936,0.0006,14109,13730,31707,31845,54928,100113.021708265,1.00037781765378,531712,531712,1191,296228,273709,729,14624,15078,15078,1512.978679,1901875,0.717734065064151,712636,992897
284995,1050370,1,0.997744487464812,4.10186966616211E-05,0.998945933788637,3.88742120374732E-40,1923,67459257,227478975,513,0.987379417611036,0.001089272014084,0.9953,0.0004,2049,,,513,1,,0.990966930803549,1.48316125910603E-40,,318931503,318931503,2049,0.987379417611036,0.001089272014084,0.9945,0.0005,14216,9060,25574,20975,43954,79287.8246603057,1.00047321668851,356612,356612,1357,210947,195431,1629,14625,14957,14957,1500.812873,1336335,0.726659815503636,479408,659742
289742,840030,1,0.998055028420882,4.14168838170396E-05,0.999380212713879,1.55306561091364E-40,2423,69472581,234388103,513,0.990600026486137,0.000938387398154,0.9957,0.0004,2049,,,513,1,,0.994688510207634,5.78810739222919E-41,,320049490,320049490,2049,0.990600026486137,0.000938387398154,0.9947,0.0004,19282,7352,26507,16972,45073,81459.3120106402,1.0006191154388,301557,301557,2264,176851,164071,2632,14626,20106,20106,2017.308708,1129452,0.737607207127311,399224,541242
223178,320176,1,0.998226193673675,5.68262638497296E-05,0.999928429468364,6.74933879607128E-40,12915,71116983,71116983,513,0.997010971279215,0.000721803468304,0.9951,0.0008,1025,,513,,,1,0.999388533383668,2.52188925856192E-40,,91755974,91755974,1025,0.997010971279215,0.000721803468304,0.9966,0.0004,17828,773,8278,1771,13841,24488.9679532191,1.00184401393767,50554,50554,4493,77471,72151,2901,14627,18002,18002,1806.319929,550774,0.990045248868778,55794,56355
